# i,scycle,rvalve,cvalve,ivalve,draws
212,13,1258,-1500,1500,0
213,13,1258,-1500,1500,0
214,13,1258,-1500,1500,0
215,13,1258,-1500,1500,0
216,13,1258,-1500,1500,0
217,13,1258,-1500,1500,0
218,13,1258,-1500,1500,0
219,13,1258,-1500,1500,0
220,13,1258,-1500,1500,0
221,13,1258,-1500,1500,0
222,13,1258,-1500,1500,0
223,14,1438,-1500,1500,0
224,14,1438,-1500,1500,0
225,14,1438,-1500,1500,6
226,14,1438,-1500,1500,0
227,14,1438,-1500,1500,0
228,14,1438,-1500,1500,0
229,14,1438,-1500,1500,0
230,14,1438,-1500,1500,0
231,14,1438,-1500,1500,0
232,14,1438,-1500,1500,0
233,14,1438,-1500,1500,0
234,14,1438,-1500,1500,0
235,14,1438,-1500,1500,0
236,14,1438,-1500,1500,0
237,14,1438,-1500,1500,0
238,14,1438,-1500,1500,0
239,15,1438,-1500,1500,0
240,15,1438,-1500,1500,0
241,15,1438,-1500,1500,6
242,15,1438,-1500,1500,0
243,15,1438,-1500,1500,0
244,15,1438,-1500,1500,0
245,15,1438,-1500,1500,0
246,15,1438,-1500,1500,0
247,15,1438,-1500,1500,0
248,15,1438,-1500,1500,0
249,15,1438,-1500,1500,0
250,15,1438,-1500,1500,0
251,15,1438,-1500,1500,0
252,15,1438,-1500,1500,0
253,15,1438,-1500,1500,0
254,15,1438,-1500,1500,0
255,16,1618,-1500,1500,0
256,16,1618,-1500,1500,0
257,16,1618,-1500,1500,6
258,16,1618,-1500,1500,0
259,16,1618,-1500,1500,0
260,16,1618,-1500,1500,0
261,16,1618,-1500,1500,0
262,16,1618,-1500,1500,0
263,16,1618,-1500,1500,0
264,16,1618,-1500,1500,0
265,16,1618,-1500,1500,0
266,16,1618,-1500,1500,0
267,16,1618,-1500,1500,0
268,16,1618,-1500,1500,0
269,16,1618,-1500,1500,0
270,16,1618,-1500,1500,0
271,17,1618,-1500,1500,0
272,17,1618,-1500,1500,0
273,17,1618,-1500,1500,16
274,17,1618,-1500,1500,0
275,17,1618,-1500,1500,0
276,17,1618,-1500,1500,0
277,17,1618,-1500,1500,0
278,17,1618,-1500,1500,0
279,17,1618,-1500,1500,0
280,17,1618,-1500,1500,0
281,17,1618,-1500,1500,0
282,17,1618,-1500,1500,0
283,17,1618,-1500,1500,3
284,17,1618,-1500,1500,0
285,17,1618,-1500,1500,0
286,17,1618,-1500,1500,0
287,18,1798,-1500,1500,0
288,18,1798,-1500,1500,0
289,18,1798,-1500,1500,15
290,18,1798,-1500,1500,0
291,18,1798,-1500,1500,0
292,18,1798,-1500,1500,0
293,18,1798,-1500,1500,0
294,18,1798,-1500,1500,0
