# i,scycle,rvalve,cvalve,ivalve,draws,state[,cityscore,cityyes,cityno,問題表0..6,投票抽樣,市民抽樣,迭代,成功][,規則抽樣,精靈抽樣[,逐型精靈抽樣0..8[,地圖雜湊]]]
390,24,2000,-708,147,679,2128701,679,0,0,0,0,0,0,0,0,0,0,2827001600
391,24,2000,-708,147,118,15227503,117,1,0,1,0,0,0,0,0,0,0,883540269
392,24,2000,-708,147,0,15227503,0,0,0,0,0,0,0,0,0,0,0,883540269
393,24,2000,-708,147,0,15227503,0,0,0,0,0,0,0,0,0,0,0,2217748715
394,24,2000,-708,147,0,15227503,0,0,0,0,0,0,0,0,0,0,0,2217748715
395,24,2000,-708,147,1,5669756,0,1,0,1,0,0,0,0,0,0,0,2217748715
396,24,2000,-708,147,1,13497349,0,1,0,0,0,0,1,0,0,0,0,2217748715
397,24,2000,-708,147,0,13497349,0,0,0,0,0,0,0,0,0,0,0,2217748715
398,24,2000,-708,147,1,15244378,1,0,0,0,0,0,0,0,0,0,0,2217748715
399,25,2000,-708,147,1,4861579,0,1,0,1,0,0,0,0,0,0,0,991297209
